keyword,positionName,companyFullName,companySize,industryField,companyNature,city,district,province,salary,lowSalary,highSalary,workYear,education,positionId,address,publishTime,channelNumber
Python,客服主管,三明市宁美信息技术有限公司,50-99人,信息传输、软件和信息技术服务业,上市公司,三明市,,福建省,4000-6000元,4000,6000元,经验不限,大学专科,2001277033811951617,福建省三明市三元区东新二路9号18层01单元,1778491293,福建毕业生就业中心
Python,广州旺旺食品有限公司+广州+普工,广州锐跃科技有限公司,,科学研究和技术服务业,民营,广州市,,广东省,5001-7000元,5001,7000元,经验不限,,2052383471766224898,广州旺旺食品有限公司,1778042726,北京网聘信息技术有限公司
Python,长沙中联招有证挖机师傅（包吃住）,兄弟连供应链管理（天津）有限公司广东分公司,,租赁和商务服务业,民营,长沙市,,湖南省,7000-9000元,7000,9000元,经验不限,,2016424323707723781,,1769587996,同道精英（天津）信息技术有限公司
Python,宿舍管理员,厦门华天涉外职业技术学院,5000-10000人,教育,其他,厦门市,,福建省,-1--1,-1,-1,经验不限,,1873304977376690179,,1779691980,厦门市人才服务中心
Python,销售经理,上海利真汽车服务咨询有限公司,,信息传输、软件和信息技术服务业,民营,南宁市,,广西壮族自治区,1.5-3万,1.5,3万,3-5年,大学本科,2039700989586333701,中国平安大厦,1775037749,北京网聘信息技术有限公司
Python,急招~给自己开车,易点无忧（北京）网络科技有限责任公司,,科学研究和技术服务业,股份制企业,北京市,,北京市,1.1-1.5万,1.1,1.5万,经验不限,,2055282673991565312,华熙LIVE·五棵松,1778748251,北京网聘信息技术有限公司
Python,仓库管理员（绍兴电信）,浙江中通通信有限公司,,信息传输、软件和信息技术服务业,央企/国企,绍兴市,,浙江省,24-25元,24,25元,经验不限,中等专科,2052382501196283907,中国电信(城南大道营业厅),1778074765,北京网聘信息技术有限公司
Python,(急招)办公室文员,长沙县长龙街道社区卫生服务中心（长沙县长龙街道妇幼保健计划生育服务站）,1-49人,卫生和社会工作,事业单位,长沙市,长沙县,湖南省,4000-6000元,4000,6000元,经验不限,,1964066466999451648,湖南长沙长沙县长龙街道社区卫生服务中心开元东路1307号,1777800933,厦门康强人才服务有限公司
Python,收银员,成都市双流区蓄联大饭店有限责任公司,10000人以上,住宿和餐饮业,其他,成都市,,四川省,3500-3800元,3500,3800元,1年以下,初级中学,2032104764070715392,"""工作地址:双流区东升街道三强西路22号  双流区黄水街道胜利长坂坡牧山别苑""",1773298834,四川省职业介绍服务中心
Python,橙人用品电商,郑州琅栀商贸有限公司,,批发和零售业,民营,天津市,,天津市,0.8-1.2万,0.8,1.2万,经验不限,,2047952271517696004,,1777104845,同道精英（天津）信息技术有限公司
Python,信息技术专业岗,福建省城乡规划设计研究院,,科学研究和技术服务业,央企/国企,福州市,,福建省,5000-8000元,5000,8000元,经验不限,,2037081370124247048,,1774513020,同道精英（天津）信息技术有限公司
Python,消防监控,深圳市航天物业管理有限公司,500-999人,,民营,深圳市,南山区,广东省,5500-5800元,5500,5800元,经验不限,,2053031180630376452,广东省深圳市南山区沁园二路2号资本市场学院,1778307567,广州泓海直聘网络有限公司
Python,算法测试工程师,深圳市创客工场科技有限公司,,批发和零售业,港澳台公司,深圳市,,广东省,1.5-3万,1.5,3万,经验不限,,2014611996016664583,,1769155904,同道精英（天津）信息技术有限公司
Python,【顺丰国际】中越陆运高级岗,深圳顺丰泰森控股(集团)有限公司,,租赁和商务服务业,民营,深圳市,,广东省,2.1-5万,2.1,5万,经验不限,,2042878893363453952,,1775895257,同道精英（天津）信息技术有限公司
Python,园区管理岗,四川红海人力资源管理有限公司阿坝州分公司,50-99人,,其他,甘孜藏族自治州,道孚县,四川省,-1--1,-1,-1,经验不限,中等专科,2053039775748997120,四川省甘孜藏族自治州道孚县团结大道26号农特产品商贸中心,1778139881,广州泓海直聘网络有限公司
Python,[招贤纳士]未成年犯管教所（新城监狱）民警,江西省未成年犯管教所,1-49人,卫生和社会工作,事业单位,南昌市,新建区,江西省,-1--1,-1,-1,经验不限,,2009764286418927621,江西省南昌市新建区长堎镇长征西路899号,1776967319,厦门康强人才服务有限公司
Python,售前设计工程师,南京卡索系统工程有限公司,1-49人,科学研究和技术服务业,股份制企业,南京市,玄武区,江苏省,6000-8000元,6000,8000元,1-3年,大学专科,1867071881039986693,南京市建邺区梦都大街150号建筑师工社（奥体北门对面）,1780382153,智讯4001755717
Python,动物房饲养员,领致生物科技（昆山）有限公司,,科学研究和技术服务业,民营,苏州市,,江苏省,5000-10000元,5000,10000元,经验不限,,2049764653407813637,,1777536950,同道精英（天津）信息技术有限公司
Python,(招贤纳士)业务员,上海先施药业有限公司,1-49人,科学研究和技术服务业,民营,上海市,杨浦区,上海市,-1--1,-1,-1,经验不限,,1981693308158631937,上海上海市杨浦区,1774600915,厦门康强人才服务有限公司
Python,(20000元以上高薪·13薪)管理院长,成都颐锦天泰老年病医院有限公司,1-49人,卫生和社会工作,民营,成都市,郫都区,四川省,2-3万,2,3万,经验不限,,1966224780450357252,四川成都郫都区犀浦镇犀团路109号（虹满天康养中心）,1777117181,厦门康强人才服务有限公司
Python,驾驶员,湖南大载物流有限公司,1-49人,,民营,邵阳市,大祥区,湖南省,-1--1,-1,-1,经验不限,,2053061721694027779,湖南省邵阳市大祥区横冲工业园,1778184694,广州泓海直聘网络有限公司
Python,【双休】朝九晚六永久无责+面试完即上岗！！！,云南拓百科技有限公司,,信息传输、软件和信息技术服务业,民营,昆明市,,云南省,0.8-1.2万,0.8,1.2万,经验不限,大学专科,1925911662993620997,奥斯迪商务中心B座,1778635347,北京网聘信息技术有限公司
Python,「YYDS」招人啦!店长,南昌市九州通三泰大药房有限公司,1-49人,批发和零售业,民营,南昌市,南昌县,江西省,5000-6000元,5000,6000元,经验不限,,1988160511091302400,江西南昌经济技术开发区瑶湖西大道899号,1777038592,厦门康强人才服务有限公司
Python,急招普工月薪380天包吃住不体检,深圳市诚展实业有限公司,100-499人,,其他,惠州市,,广东省,7000-8000元,7000,8000元,经验不限,,2048975530870718464,惠州市惠阳区人民政府(金惠大道5号),1777348809,厦门才盛人才服务有限公司
Python,Executive Assistant,德昌驱动科技（常州）有限公司,,制造业,港澳台公司,常州市,,江苏省,1-1.5万,1,1.5万,经验不限,,2045414847672246275,,1776499876,同道精英（天津）信息技术有限公司
Python,仓库管理员,觉物科技（深圳）有限公司,,制造业,港澳台公司,西安市,,陕西省,7000-10000元,7000,10000元,经验不限,,2059549809139924994,,1779869913,同道精英（天津）信息技术有限公司
Python,Node.js实习,上海云偲想付科技有限公司,,科学研究和技术服务业,港澳台公司,深圳市,,广东省,3000-4000元,3000,4000元,经验不限,,2045414943981592581,,1776499899,同道精英（天津）信息技术有限公司
Python,审核岗上班就是刷视频,位来小猎（宁波）信息技术有限公司,,信息传输、软件和信息技术服务业,合资,广州市,,广东省,4001-6000元,4001,6000元,经验不限,大学专科,2004548307191611399,奥园国际中心,1766626349,北京网聘信息技术有限公司
Python,普工,美平电器制品（深圳）有限公司,100-499人,科学研究和技术服务业,其他,深圳市,,广东省,6000-7000元,6000,7000元,经验不限,初级中学,2054623152872636419,深圳市龙岗区园山街道荷坳社区银荷路37号A栋101,1778641723,广东人社公共招聘服务平台
Python,武汉东站 固定双休 资料登记 可住宿,泰盈科技集团股份有限公司武汉分公司,,信息传输、软件和信息技术服务业,上市公司,武汉市,,湖北省,6001-8000元,6001,8000元,经验不限,大学专科,2045498527031648262,武汉东站,1776410056,北京网聘信息技术有限公司
